X (m),Y (m),Z (m),Temperature (K)
2213.99074291791,-1899.6580580070863,234.5143211351676,309.14761825696513
1425.0880222055828,-1432.773057872134,66.19125341570373,312.7688769975548
2112.486290738846,-1885.935255722449,154.80482879319845,313.1917719044156
2515.0908915310783,-1054.0270658568043,171.7458212537984,328.31219434253
2646.1461525980712,-2690.9691571520616,253.9310019191335,306.3840450224435
2903.9897642699534,-2471.4656127420067,223.7292654588615,324.53656184941957
1592.7462466201443,-2371.4732577586096,29.567126098559044,303.51259578421997
2279.5779656284167,-2346.709905506443,10.011940263864137,310.06790163978513
1694.9767259390424,-1147.9357636135276,125.9179452678795,299.90346327672586
1224.9710342359094,-1081.4686592963988,231.67196228349545,327.19218834500975
1689.1438773004925,-1480.9806480167497,175.51701073658424,330.8832355527508
1547.6335137681835,-2278.7762939840186,234.21864247357232,315.9941116376088
2446.0904410044277,-1606.9366213009707,22.419778502387878,320.47789871311966
2673.49003395596,-1479.5802545349648,191.9763320539773,321.1685369860169
1785.330249825282,-1948.5970835350884,216.57031223883206,298.7087065280751
1882.4207508729562,-2743.827618830792,241.78676885383578,302.8975627847636
2591.371376552128,-2976.5774491809916,241.77286152018252,313.1317047849264
2205.2349488010964,-2888.090874924085,154.8790218183339,329.09762017614037
2268.0563528832326,-2821.560198705879,216.23277261922667,303.16677573046906
2672.494157270732,-1847.2955155602135,103.3912297352474,305.74399632160765
1498.5774599727383,-1547.1792622620517,107.643878024194,336.92701729162764
2784.1336943548295,-2312.407618131925,122.6167185477185,319.6234223467698
1093.78028771743,-2232.839289558835,27.0413899902151,301.60890377860227
2096.9509680647343,-1775.7531882786582,93.81406493255392,297.75359095197405
2127.8698991340416,-1074.9094557537514,193.86953442375997,329.1899549412709
1273.7151922749495,-2595.0658401206097,243.71632735427067,338.62389198835126
1475.6385795045433,-2599.018316701807,179.1890104823037,310.9145726551165
2324.8355507145643,-1454.550200179443,179.91043065097531,326.0944922664472
1954.9385492474694,-1510.816989294547,22.711224793613475,312.30163478128566
2884.0919010373955,-2924.2226217943057,160.40686635216574,325.70030636169605
2799.3902999179963,-2766.157709386618,58.795862356858294,302.8546025247112
2260.9953024987426,-2103.2685916223336,120.33367280935042,333.6489105132057
2392.6509270332317,-2778.556067180156,16.297408597004814,297.25033050956034
1219.41437297241,-2692.3624247772173,87.44295968987498,312.57417796204896
1060.398056453861,-1539.6255538131686,249.6441626788087,313.0964829856242
2100.9614803023906,-1428.527151871826,134.50511898910472,322.10653313656405
2342.9566540310097,-1596.3676348961862,32.122429527914285,295.7168344405371
1355.735375347363,-1842.6788233825364,228.37584179326214,326.0862251726678
1329.3131134615228,-2407.012486791853,184.52506245720588,301.41403052219727
1588.2149709342239,-1227.7117763105625,14.303263426623875,301.09693114758
1994.7074810014628,-1670.6441927796254,70.23021295910135,319.52865587397446
2502.9493126944017,-1472.3983803031474,195.87107482163745,322.0450181857267
1040.6209446351177,-1907.818009584732,226.96183848630304,304.45133841824645
2950.7003250487032,-2001.4217751232623,225.99980323381723,326.52041852336464
2634.477716043162,-1594.696744129038,71.3598460953584,315.48537999994693
2834.401181071834,-2916.3807385426758,185.49896832138165,325.4119525985128
2431.205884133714,-1934.2764029375426,31.66704478211377,317.3935654512456
2291.6038699146907,-2615.921919233753,53.22372636996772,314.0598806735404
1179.2270083656556,-2964.746559674633,54.838567500956884,313.62202229134704
1649.1261047879084,-2039.9025887156404,204.21432023420002,315.7357570038548
2218.690084888466,-2025.2813354604073,238.21207155010867,304.93569171357
1946.4214854737957,-1900.7979637540288,156.77783268548976,330.5319688530032
1363.8470487128202,-1093.5375598234307,-7.5588537559603015,327.55467789084884
2947.389468124354,-1828.76234819991,139.7273535557168,299.1837850634028
2331.951398059279,-2095.2517834836244,102.2468770011836,330.7358021468064
1020.8233269615048,-1188.8130914092112,220.9921732945498,325.2122360871305
2508.590983887351,-2333.376750052259,165.7112371235369,312.2220967348906
1439.5490840104885,-2225.6050977766813,146.36152735957555,300.8301371976602
1434.1306811542922,-1811.4719030330352,15.160791040451706,298.8464735622093
1313.0963748664753,-1813.7948638557546,221.15287904142414,330.91221310405194
1099.8021533310518,-1564.343170503991,4.592174225053956,320.3957990527655
1693.4295440270134,-1744.8943258658223,141.7592225306293,300.4258425378308
1832.6621595803197,-1629.438659894762,17.83038645931373,302.3014648973788
1882.1017416352213,-2531.9503928218155,103.36585842903189,299.706463166483
1488.4112346377303,-1241.8235228590759,48.88612528352225,301.9366334661813
2322.8590882818276,-2912.831086750913,155.4492284748034,310.1390369624231
1023.6842998127364,-2897.368366117339,168.76086175536636,335.8067563107121
1666.1489790868013,-2141.011134561801,28.967395172456975,308.6547336715806
1030.9338237617715,-2173.946334515877,27.07060322603894,306.77155216755745
2826.36776840321,-1108.5157896598632,85.99496900337635,326.6164780393356
2152.730981704093,-1603.0081760347737,190.47493537731086,323.30086059130343
1327.695221023864,-2482.766025631194,55.802240033809014,325.4995099816293
2996.3535541297524,-2161.3355647795565,163.5921981431532,312.3133165077103
1742.1564330623528,-1974.5779778077078,249.0143702625126,322.2862729468233
1180.3698163083477,-1890.8181889354587,46.091893362082615,338.3783901980149
2343.058023366775,-1888.0243448646202,28.80051988826073,306.3456486028713
1221.453889854409,-2769.01780903866,20.014254301225357,333.3491781698345
1728.5381066938198,-2132.3005234164148,253.73877966360698,332.2964659653448
1796.6836337348398,-1264.0413648089534,200.2012156162936,311.6949382226645
1878.49876244323,-2045.124936035772,223.33760007383853,324.07616441808494
1972.0924797661216,-2981.6042092641483,113.67431249224492,314.1487710279529
2355.7389042801724,-1906.9935905330685,7.90482127997716,314.7989960402896
2901.6952805315095,-1785.98889951794,93.37469705268836,324.938874225331
2043.0531741273574,-2911.4183987690353,243.1240070058265,329.5708701121673
1071.5452052767407,-1727.4895727616333,17.47907617505212,307.1221078601816
1039.0472672797227,-1089.5438430634108,87.60177799666936,296.2097610697909
2007.7592055202463,-1203.072097996671,59.77129564565317,304.36890887193385
2533.8150360669356,-2477.600933810148,44.980676116976994,308.6317877157117
1505.2697493614712,-1426.0130857007034,137.63836543415286,310.17438555539957
2382.260018749638,-1077.3546498570051,254.15628235724773,302.622658861763
2098.9750571315335,-2161.7293898841995,219.55226962759045,296.28976748784277
2409.454588957343,-1525.6381960872798,194.66738213989748,295.08293548575335
2518.774184555325,-1486.3849717937005,39.49221323390212,325.11283145932083
1296.1577771949717,-1073.7716541453437,118.710839571853,299.3453691845048
1902.988661765235,-1067.2790575587103,108.72702387506698,338.8491312344343
2263.2924759818106,-2324.96407545018,207.32303153337236,330.2222155430916
2179.2909943886652,-2431.9630188459237,250.99910354326778,297.1386689933228
2941.672889847465,-1088.355860845571,0.1636850428982619,336.5725665299223
2792.331187196735,-1258.7037024279314,167.53809090493098,317.53025141678444
2959.0018917013504,-2368.923027208155,150.80025675417494,324.797387081441
2674.8210934130702,-1000.6769719801684,163.53819286966234,308.4446508155081
2760.557491041509,-1780.0917336775324,156.18171455685038,304.4230051316691
1892.9098277431258,-1703.79066432771,190.94962173606538,315.7362664392004
1194.4268777373227,-2591.3000848138918,152.7281593736121,312.9833499646147
1869.444121680599,-2090.3098590515992,-1.1439120325559529,315.6318670331265
